subject,word_count,exclamations,money_words,all_caps,is_spam
WIN MONEY NOW!!!,50,3,5,3,1
Congratulations! You've won!,45,2,4,1,1
FREE OFFER LIMITED TIME,30,1,3,4,1
Make $$$ working from home!,40,1,6,0,1
URGENT: Claim your prize,35,0,2,1,1
Discount pharmacy prices!!!,25,3,2,0,1
You're a WINNER!,20,1,1,1,1
Get rich quick scheme,55,0,4,0,1
Meeting tomorrow at 3pm,120,0,0,0,0
Re: Project update,200,0,0,0,0
Lunch plans?,85,1,0,0,0
Your package has shipped,100,0,0,0,0
Happy Birthday!,150,1,0,0,0
Class cancelled today,75,0,0,0,0
Thanks for your help,90,0,0,0,0
See you tonight,60,0,0,0,0
WIN MONEY NOW!!!,47,2,5,3,1
WIN MONEY NOW!!!,40,4,5,3,1
WIN MONEY NOW!!!,41,4,5,3,1
Congratulations! You've won!,38,3,4,1,1
Congratulations! You've won!,37,2,4,1,1
Congratulations! You've won!,38,2,4,1,1
FREE OFFER LIMITED TIME,35,0,3,4,1
FREE OFFER LIMITED TIME,21,2,3,4,1
FREE OFFER LIMITED TIME,31,2,3,4,1
Make $$$ working from home!,43,1,6,0,1
Make $$$ working from home!,45,0,6,0,1
Make $$$ working from home!,32,0,6,0,1
URGENT: Claim your prize,36,0,2,1,1
URGENT: Claim your prize,35,0,2,1,1
URGENT: Claim your prize,36,0,2,1,1
Discount pharmacy prices!!!,23,4,2,0,1
Discount pharmacy prices!!!,30,4,2,0,1
Discount pharmacy prices!!!,30,2,2,0,1
You're a WINNER!,28,0,1,1,1
You're a WINNER!,20,0,1,1,1
You're a WINNER!,19,2,1,1,1
Get rich quick scheme,56,0,4,0,1
Get rich quick scheme,60,0,4,0,1
Get rich quick scheme,59,0,4,0,1
Meeting tomorrow at 3pm,112,0,0,0,0
Meeting tomorrow at 3pm,129,0,0,0,0
Meeting tomorrow at 3pm,128,0,0,0,0
Re: Project update,199,1,0,0,0
Re: Project update,202,0,0,0,0
Re: Project update,194,0,0,0,0
Lunch plans?,87,0,0,0,0
Lunch plans?,84,0,0,0,0
Lunch plans?,87,2,0,0,0
Your package has shipped,96,0,0,0,0
Your package has shipped,97,1,0,0,0
Your package has shipped,92,0,0,0,0
Happy Birthday!,157,2,0,0,0
Happy Birthday!,146,0,0,0,0
Happy Birthday!,145,1,0,0,0
Class cancelled today,71,0,0,0,0
Class cancelled today,76,0,0,0,0
Class cancelled today,70,1,0,0,0
Thanks for your help,93,0,0,0,0
Thanks for your help,90,1,0,0,0
Thanks for your help,86,0,0,0,0
See you tonight,66,0,0,0,0
See you tonight,69,0,0,0,0
See you tonight,59,1,0,0,0
